AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
41,ARMM-FO-AD-RAMS,FO Records Management Section,NULL,NULL,ARMM-FO-AD,15,NULL,NULL,NULL,NULL,0,2
42,ARMM-FO-ALL,All DSWD Field Office ARMM,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,0,2
43,ARMM-FO-BAC,FO Bids and Awards Committee,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,0,2
44,ARMM-FO-CBS-MTA,FO Minors Travelling Abroad Office,NULL,NULL,ARMM-FO-PSD-COMBS,15,NULL,NULL,NULL,NULL,0,2
45,ARMM-FO-CBSS-ANVRC,FO A/NVRC Island Cluster,NULL,NULL,ARMM-FO-PSD-CBSS,15,NULL,NULL,NULL,NULL,0,2
46,ARMM-FO-CBSS-RHGW,FO Regional Home for Girls and Women,NULL,NULL,ARMM-FO-PSD-CBSS,15,NULL,NULL,NULL,NULL,0,2
47,ARMM-FO-CBSS-RSCC,FO Reception and Study Center for Children,NULL,NULL,ARMM-FO-PSD-CBSS,15,NULL,NULL,NULL,NULL,0,2
48,ARMM-FO-CBSS-RSCY,FO Regional Rehabilitation Center for Youth,NULL,NULL,ARMM-FO-PSD-CBSS,15,NULL,NULL,NULL,NULL,0,2
49,ARMM-FO-COA,FO Commision on Audit,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,0,2
50,ARMM-FO-COMBS-ARRS,FO Adoption Resource and Referral Section,NULL,NULL,ARMM-FO-PSD-COMBS,15,NULL,NULL,NULL,NULL,0,2
51,ARMM-FO-COMBS-SFP,FO Supplementary Feeding Program,NULL,NULL,ARMM-FO-PSD-COMBS,15,NULL,NULL,NULL,NULL,0,2
52,ARMM-FO-COMBS-SPO,FO Social Pension Office,NULL,NULL,ARMM-FO-PSD-COMBS,15,NULL,NULL,NULL,NULL,0,2
53,ARMM-FO-DRMD,FO Disaster Response Management Division,NULL,NULL,ARMM-FO-OARDO,15,NULL,NULL,NULL,NULL,0,2
54,ARMM-FO-DRMD-DRIMS,FO Regional Response & Information Management Section,NULL,NULL,ARMM-FO-DRMD,15,NULL,NULL,NULL,NULL,0,2
55,ARMM-FO-DRMD-DRRMS,FO Disaster Response Rehabilitation Managment Section,NULL,NULL,ARMM-FO-DRMD,15,NULL,NULL,NULL,NULL,0,2
56,ARMM-FO-DRMD-RROS,FO Regiona Resource Operation Section,NULL,NULL,ARMM-FO-DRMD,15,NULL,NULL,NULL,NULL,0,2
57,ARMM-FO-FMD,FO Financial Management Division,NULL,NULL,ARMM-FO-OARDA,15,NULL,NULL,NULL,NULL,0,2
58,ARMM-FO-FMD-AS,FO Accounting Section,NULL,NULL,ARMM-FO-FMD,15,NULL,NULL,NULL,NULL,0,2
59,ARMM-FO-FMD-BS,FO Budget Section,NULL,NULL,ARMM-FO-FMD,15,NULL,NULL,NULL,NULL,0,2
60,ARMM-FO-FMD-CS,FO Cash Section,NULL,NULL,ARMM-FO-FMD,15,NULL,NULL,NULL,NULL,0,2
61,ARMM-FO-HRMDD,FO Human Resource Management and Development Division,NULL,NULL,ARMM-FO-OARDA,15,NULL,NULL,NULL,NULL,0,2
62,ARMM-FO-HRMDD-HRPPMS,FO Human Resource Planning and Performance Management Section,NULL,NULL,ARMM-FO-HRMDD,15,NULL,NULL,NULL,NULL,0,2
63,ARMM-FO-HRMDD-HRWS,FO Human Resource Welfare Section,NULL,NULL,ARMM-FO-HRMDD,15,NULL,NULL,NULL,NULL,0,2
64,ARMM-FO-HRMDD-LDS,FO Learning and Development Section,NULL,NULL,ARMM-FO-HRMDD,15,NULL,NULL,NULL,NULL,0,2
65,ARMM-FO-HRMDD-PAS,FO Personal Administration Section,NULL,NULL,ARMM-FO-HRMDD,15,NULL,NULL,NULL,NULL,0,2
66,ARMM-FO-IAU,FO Internal Audit Unit,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
67,ARMM-FO-KC,FO Kalhi-CIDSS PMO,NULL,NULL,ARMM-FO-PROSD,15,NULL,NULL,NULL,NULL,0,2
68,ARMM-FO-LU,FO Legal Unit,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
69,ARMM-FO-OARDA,FO Office of Assistant Regional Director for Administration,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
70,ARMM-FO-OARDO,FO Office of Assistant Regional Director for Operation,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
71,ARMM-FO-ORD,FO Office of the Regional Director,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,0,2
72,ARMM-FO-ORD-STU,FO Social Technology Unit,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
73,ARMM-FO-PPD,FO Policy and Plans Division,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
74,ARMM-FO-PPD-ICT,FO Information & Planning Communication Technology Section,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
75,ARMM-FO-PPD-NHTS,FO National Household Targetting Section,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
76,ARMM-FO-PPD-PDPS,FO Policy Development and Planning Section,NULL,NULL,ARMM-FO-PPD,15,NULL,NULL,NULL,NULL,0,2
77,ARMM-FO-PPD-SS,FO Standard Section,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
78,ARMM-FO-PPD-UCT,FO Unconditional Cash Transfer,NULL,NULL,ARMM-FO-PPD,15,NULL,NULL,NULL,NULL,0,2
79,ARMM-FO-PROMSD,FO Promotive Service Division,NULL,NULL,ARMM-FO-OARDO,15,NULL,NULL,NULL,NULL,0,2
80,ARMM-FO-PROMSD-EPAHP,FO Enhance Partnership Against Hunger and Poverty,NULL,NULL,ARMM-FO-PROMSD,15,NULL,NULL,NULL,NULL,0,2
81,ARMM-FO-PROMSD-SLP,FO Sustainable Livelihood Program PMO,NULL,NULL,ARMM-FO-PROSD,15,NULL,NULL,NULL,NULL,0,2
82,ARMM-FO-PSD,FO Protective Service Division,NULL,NULL,ARMM-FO-OARDO,15,NULL,NULL,NULL,NULL,0,2
83,ARMM-FO-PSD-CBS,FO Capacity Building Section,NULL,NULL,ARMM-FO-PSD,15,NULL,NULL,NULL,NULL,0,2
84,ARMM-FO-PSD-CBSS,FO Center Based Services Section,NULL,NULL,ARMM-FO-PSD,15,NULL,NULL,NULL,NULL,0,2
85,ARMM-FO-PSD-CIS,FO Crisis Intervention Section,NULL,NULL,ARMM-FO-PSD,15,NULL,NULL,NULL,NULL,0,2
86,ARMM-FO-PSD-COMBS,FO Community Based Services Section,NULL,NULL,ARMM-FO-PSD,15,NULL,NULL,NULL,NULL,0,2
87,ARMM-FO-SMU,FO Social Marketing Unit,NULL,NULL,ARMM-FO-ORD,15,NULL,NULL,NULL,NULL,0,2
88,AS,Administrative Service,NULL,,OASADMIN,CO,16,9/12/2014 16:55,335,2/2/2022 13:18,0,2
89,AS-BGMD,Administrative Service-Building and Grounds Management Division,OIC DC. ALFREDO C. EVANGELISTA,NULL,AS,CO,68,5/4/2019 14:27,68,NULL,0,3
90,AS-GSD,Administrative Service-General Service Division,OIC DC. EMYLOU P. MIRAVALLES,NULL,AS,CO,16,9/12/2014 16:55,68,NULL,0,3
91,AS-PMD,Administrative Service - Procurement Management Division,OIC DIR. KARINA ANTONETTE A. AGUDO,NULL,OUSGASS,CO,68,5/6/2019 14:49,14,2/9/2022 10:42,0,2
92,AS-PSAMD,Administrative Service-Property Supply and Assets Management Division,MONETTE B. CADIANG,NULL,AS,CO,16,9/12/2014 16:55,13,2/2/2022 11:36,0,3
93,AS-RAMD,Administrative Service-Records and Archives Management Division,OIC DC. MYRNA H. REYES,NULL,AS,CO,68,5/4/2019 14:33,68,NULL,0,3
94,BAC,Bids And Awards Committee (BAC) Secretariat ,OIC DC. OLIVA C. ARCAINA,NULL,PMS,CO,68,5/6/2019 14:50,14,2/22/2022 7:58,0,3
